FID,AREA,PERIMETER,name,x,y,val
465,0,0,泰宁县,117.1589966,26.8990002,0
466,0,0,顺昌县,117.8069992,26.7975998,0
467,0,0,将乐县,117.4550018,26.7213001,0
468,0,0,沙县,117.7819977,26.3980999,0
469,0,0,明溪县,117.1989975,26.3502998,0
470,0,0,屏南县,118.973999,26.9116993,0
471,0,0,古田县,118.7389984,26.5778008,0
472,0,0,闽清县,118.862999,26.2136993,0
473,0,0,尤溪县,118.1829987,26.1723003,0
474,0,0,霞浦县,119.9909973,26.8840008,0
475,0,0,罗源县,119.5449982,26.4913998,0
476,0,0,连江县,119.5350037,26.1984997,0
477,0,0,闽侯县,119.1460037,26.1508999,0
478,0,0,上犹县,114.5319977,25.7968998,0
479,0,0,崇义县,114.302002,25.6940994,0
480,0,0,南康市,114.7450027,25.6590996,0
481,0,0,大余县,114.3509979,25.4004002,0
482,0,0,信丰县,114.9309998,25.3789005,0
483,0,0,南雄市,114.302002,25.1193008,0
484,0,0,于都县,115.4100037,25.9545994,0
485,0,0,赣县,115.0019989,25.8602009,0
486,0,0,会昌县,115.7829971,25.5848007,0
487,0,0,安远县,115.3919983,25.1387005,0
488,0,0,瑞金市,116.0250015,25.8731003,0
489,0,0,长汀县,116.3499985,25.8339005,0
490,0,0,连城县,116.7460022,25.7089005,0
491,0,0,武平县,116.0910034,25.0919991,0
492,0,0,上杭县,116.4179993,25.0538006,0
493,0,0,永安市,117.3619995,25.9654999,0
494,0,0,大田县,117.836998,25.6928005,0
495,0,0,漳平市,117.4039993,25.2898998,0
496,0,0,永泰县,118.9339981,25.8680992,0
497,0,0,德化县,118.2300034,25.4773998,0
498,0,0,仙游县,118.6839981,25.3649998,0
499,0,0,永春县,118.2870026,25.3262997,0
500,0,0,安溪县,118.1819992,25.0611,0
501,0,0,惠安县,118.8030014,25.0224991,0
502,0,0,长乐市,119.5189972,25.9603004,0
503,0,0,平潭县,119.7839966,25.5044994,0
504,0,0,莆田县,119.0110016,25.4344006,0
505,0,0,始兴县,114.0630035,24.9461994,0
506,0,0,龙南县,114.7850037,24.8994999,0
507,0,0,全南县,114.5240021,24.7443008,0
508,0,0,和平县,114.9329987,24.4402008,0
509,0,0,连平县,114.4830017,24.3582001,0
510,0,0,翁源县,114.1320038,24.3449001,0
511,0,0,新丰县,114.2020035,24.0629997,0
512,0,0,寻乌县,115.6340027,24.9473991,0
513,0,0,定南县,115.0169983,24.7717991,0
514,0,0,平远县,115.8899994,24.5664005,0
515,0,0,兴宁市,115.7279968,24.1392002,0
516,0,0,龙川县,115.2559967,24.1002007,0
517,0,0,永定县,116.7210007,24.7208004,0
518,0,0,蕉岭县,116.1699982,24.6518002,0
519,0,0,大埔县,116.689003,24.3549004,0
520,0,0,梅县,116.1090012,24.3078995,0
521,0,0,华安县,117.5210037,24.9946995,0
522,0,0,长泰县,117.7509995,24.6208992,0
523,0,0,南靖县,117.362999,24.5002003,0
524,0,0,龙海市,117.8099976,24.4396992,0
525,0,0,平和县,117.2969971,24.3523998,0
526,0,0,漳浦县,117.6110001,24.1175995,0
527,0,0,南安市,118.3759995,24.9535007,0
528,0,0,晋江市,118.5719986,24.8106003,0
529,0,0,石狮市,118.6330032,24.7366009,0
530,0,0,同安区,118.1439972,24.7364998,0
531,0,0,金门县,118.3170013,24.4337997,0
532,0,0,福清市,119.3820038,25.7283993,0
